FIT-101,LIT-101,P-101,P-102,MV-101,AIT-101,AIT-102,DPIT-101,FIT-201,AIT-201,AIT-202,AIT-203,P-201,P-202,P-203,P-204,MV-201,FIT-301,LIT-301,DPIT-301,P-301,P-302,MV-301,MV-302,AIT-301,AIT-302,AIT-303,FIT-401,LIT-401,AIT-401,AIT-402,P-401,P-402,P-403,UV-401,FIT-501,FIT-502,FIT-503,PIT-501,PIT-502,P-501,P-502,AIT-501,FIT-601,LIT-601,P-601,P-602,P-603,DPIT-601,AIT-601,AIT-602,Normal/Attack,Attack_Type,Attack_Severity,Affected_Stage,Num_Affected_Sensors,Timestamp
1.990113407223329,906.9853567182369,1.0,0.0,1.0016710102981157,298.4560085061262,245.50680344435443,2.3904771815059864,1.2563617902711515,400.0,274.90610692934877,221.61506750986297,1.0,0.0,1.0,0.0,0.9698179537715005,2.491498356304455,725.4859447166326,5.729515454109236,1.0,1.0,0.9689634464339995,0.9608513835317639,178.46100211370538,188.54456032800692,153.77977188271427,2.124059582245438,569.9363240064565,56.41291357177978,53.453587338928976,1.0,0.0,1.0,86.80418410393024,1.7028894128771883,1.0127785164056942,0.8740621260071827,30.103165476353283,24.737186023862144,1.0,1.0,106.89451681701676,1.5228388323375917,463.7419292174387,0.0,0.0,1.0,3.62127223223157,127.34820683330663,122.461113577415,1,sensor_spike,critical,2,4.0,2025-11-26 09:20:43.194586
2.0389788396012674,885.5300571535007,1.0,0.0,0.9116097526868864,315.0784547540743,260.2062595979535,2.2840763225204794,1.1561418624883812,307.6767173907444,290.4267040015095,219.48500295093336,1.0,0.0,1.0,0.0,0.9690802901507443,2.4845920184745856,722.0045463451249,6.000347224437123,1.0,1.0,0.9300232988390036,0.9667660312078952,172.02727872624422,194.28709624254296,154.76547093215424,2.128694549539867,572.6843295423989,59.33322856281313,56.44366823399671,1.0,0.0,1.0,88.61099233134237,1.7775708799230803,1.01407032338994,0.8452203306089171,29.555530832918482,25.871779511158525,1.0,1.0,97.4107143821157,1.5487568252985704,456.97522534794933,0.0,0.0,1.0,3.449046675534625,129.49937970920192,128.93340123416118,0,Normal,None,0,,2025-11-26 09:20:46.194586
2.0078478872445364,902.6962973276718,1.0,0.0,1.0436205497878042,293.4341961712263,243.9034152084259,2.5757690378643767,1.186787854060736,292.82187190547467,284.4970725711883,223.0039659574242,1.0,0.0,1.0,0.0,0.7906601681199188,2.460206303771633,760.5039866927143,5.532906938576865,1.0,1.0,1.1984719847853547,0.9469949990915998,172.80815844614796,203.24913975413645,163.67790971365008,2.073391659460647,570.0380787274864,64.0194750595111,55.86036326419245,1.0,0.0,1.0,78.06491114934413,1.7676110754810908,1.0842972534212914,0.8485292360109546,30.26962118735138,24.6662049197047,1.0,1.0,111.11776259729032,1.469923033560975,464.9813711058484,0.0,0.0,1.0,3.029504327505523,141.59849092617827,114.98589113085394,1,multi_stage_cascade,medium,6,1.0,2025-11-26 09:20:49.194586
2.00177975249016,889.1823452496969,1.0,0.0,1.0345692646843072,287.35816432300294,254.59224608863715,2.4767156355375293,1.1752383952616288,305.5978743461286,286.8748575878444,243.08243854531355,1.0,0.0,1.0,0.0,1.016743045796792,2.4845954536233994,756.1356724964733,5.595365743818373,1.0,1.0,1.0038884653359434,1.2519810109176752,184.29325792463817,208.81463151240405,156.06158805810168,2.108824216765624,540.8390812810767,53.731541583553835,54.82652038662949,1.0,0.0,1.0,85.00805243760229,1.7333265421009794,1.0831084518007768,0.857877964086167,30.277769162601672,25.557855067265162,1.0,1.0,92.81209388556017,1.4882193014003748,434.8672525206771,0.0,0.0,1.0,3.7502030561838087,125.55438118238109,111.46964847041771,0,Normal,None,0,,2025-11-26 09:20:52.194586
1.9352543863746183,906.8724684174422,1.0,0.0,0.887980613284461,300.82481249570526,239.97116054177087,2.926432026706356,1.201428549893507,302.3533762567879,279.2151334136355,231.69788111601045,1.0,0.0,1.0,0.0,0.8145003876656276,2.4668224273452113,751.065486786547,5.294677812140997,1.0,1.0,1.031006986330341,0.9559005209026824,177.5241128149518,200.07940172303043,157.43372433855285,2.2130831782161136,576.0154684860555,67.09431678233976,60.57942358963791,1.0,0.0,1.0,89.26254756005928,1.72257638975003,1.0412741149913076,0.8614602865777651,32.16814933080428,25.097001371263307,1.0,1.0,102.24997715073913,1.5692203033071825,425.7374153654668,0.0,0.0,1.0,3.5098948770717127,133.44104351395885,132.62939395722606,1,valve_manipulation,medium,6,1.0,2025-11-26 09:20:55.194586
1.946630012384244,890.6188780359466,1.0,0.0,0.8187042809723726,303.4783608943826,251.88546405186395,2.869021803475396,1.192148915817404,315.1032445554701,281.1185821358658,211.75752985710156,1.0,0.0,1.0,0.0,0.9992313701118681,2.5500241061756306,733.5750602607104,5.702831906963411,1.0,1.0,0.9276550413803373,0.969077741381594,161.82825495704523,194.71024783662241,161.42874414117904,2.0102412382626813,522.0921716858494,67.04108107772507,53.353821152342285,1.0,0.0,1.0,93.25484722601519,1.7310094113386392,1.051072249239048,0.8536907933231562,28.25775188170595,25.93191091756833,1.0,1.0,100.92303238551496,1.5037174746440842,458.78027766667117,0.0,0.0,1.0,3.6788913948088067,139.18365665171473,126.19586026994367,0,Normal,None,0,,2025-11-26 09:20:58.194586
2.0020202423367515,909.5714138487117,1.0,0.0,1.0041834714417257,292.550454198992,253.29991351055577,2.4926830812180625,1.2109303492820451,307.49125269961326,286.040901783681,242.62244577479652,1.0,0.0,1.0,0.0,1.1120169734211698,2.530086335156727,744.3591583111992,5.27675859753108,1.0,1.0,1.0367746882643913,0.8970313564907815,179.0393319807118,203.48159025774441,155.4969231678621,2.1292995982650673,584.8573618198335,60.060550480723755,48.15871601621224,1.0,0.0,1.0,74.90369449507553,1.7278262679606704,1.0505161595606147,0.8384115366357978,30.766461977734636,23.41010509543406,1.0,1.0,94.04499451140217,1.5404486591790947,460.2899818461401,0.0,0.0,1.0,3.210968631398235,141.6845828985421,116.97605846213233,0,Normal,None,0,,2025-11-26 09:21:01.194586
2.0196920642429834,884.6638452682971,1.0,0.0,0.9475332517307932,294.81518667231745,255.00108367170682,2.593491723221997,1.1671254792654493,303.14342899692696,278.4490021506193,232.38963851107926,1.0,0.0,1.0,0.0,0.9423179669410127,2.404283510885629,723.0157357956872,5.4303990713101475,1.0,1.0,0.9277565140006048,0.812632660330709,176.56178970478447,189.11074834988187,157.72858187771197,2.0640157576352047,565.2051312280413,61.33170023043051,85.0,1.0,0.0,1.0,81.9825299073036,1.6975047168832889,1.0970415638482254,0.850380207155517,28.152494415819696,25.674217971570073,1.0,1.0,91.50475426663587,1.4806171156306724,458.22983472495963,0.0,0.0,1.0,3.4526046968782387,126.37236157729699,127.4617640264395,1,sensor_spike,low,4,1.0,2025-11-26 09:21:04.194586
1.9433614142142563,882.9849505195529,1.0,0.0,0.7153093877368631,300.290396353858,245.47475775827036,2.2991951646544786,1.2440531789156195,293.59991264991044,284.98116932182194,226.52973537539782,1.0,0.0,1.0,0.0,0.9893293961561836,2.6010464290844575,747.3948398411613,5.155339017673889,1.0,1.0,1.041182589942854,1.0559119000797763,183.23208907001802,212.47305135454448,156.1801332538558,2.0544509749734488,569.1745693557814,54.605273054864675,58.17852470772521,1.0,0.0,1.0,85.58323395896443,1.7958119300478868,1.0233756458289167,0.8599437241126155,29.2621888020922,24.90694270895686,1.0,1.0,114.19652515379798,1.5564142186800944,450.3545296928136,0.0,0.0,1.0,3.6993263662534472,125.86863313879489,121.18143123028672,0,Normal,None,0,,2025-11-26 09:21:07.194586
2.032504379476106,892.6838603171839,1.0,0.0,0.9164882864027506,300.9432821299672,250.40842007492242,2.737466357510061,1.217666585268775,311.70426079743874,294.0829949849166,227.0930020420933,1.0,0.0,1.0,0.0,0.9364649913639957,2.5291453292593653,757.0816202152897,5.501402438367865,1.0,1.0,1.0561891255260345,0.9472911519155407,174.12373456896472,205.0520927521294,152.5811097058913,2.0524183455759033,527.6786393697272,58.41103481290035,53.74230423659581,1.0,0.0,1.0,83.6432402645192,1.7524413026968453,1.0733791212876962,0.8348466230383411,31.037123439672126,24.773741178883338,1.0,1.0,97.41257566147128,1.5094313667406527,447.39770663764176,0.0,0.0,1.0,3.798069644610872,149.2821003764873,119.2658991626802,1,sensor_oscillation,low,6,2.0,2025-11-26 09:21:10.194586
1.975285259419191,915.5975059679282,1.0,0.0,1.1243791436452324,276.79269094667274,242.2978817802388,2.6661315481365992,1.1500956972243583,295.32681054061436,280.55360589549025,216.24161103304039,1.0,0.0,1.0,0.0,1.0841631958921993,2.5644324556799694,739.8693308577696,5.862624501609444,1.0,1.0,0.8428072843918495,0.9516261053052518,177.4412986661359,179.79477109244604,156.97150414555796,2.071429482366999,576.1695998502297,58.39600350115787,52.795943504952724,1.0,0.0,1.0,87.22133429941668,1.7899947080400949,1.0450467028516228,0.8125382914896011,29.285289190733728,25.52816703033938,1.0,1.0,101.85154907104177,1.5105951378532922,477.69428050249735,0.0,0.0,1.0,3.252298126690241,130.93926542409338,124.50857915963982,1,data_injection,low,1,1.0,2025-11-26 09:21:13.194586
